Model 	GenomeIDSpeciesA 	GenomeIDSpeciesB 	GRSpeciesAFull 	GRSpeciesBFull 	GRASolo 	GRBSolo 	PercentChangeRawA 	PercentChangeRawB 	TypeOfInteraction
1095745.3X562981.3 	1095745.3 	562981.3 	24.9158442204 	0.0 	24.9158442204 	2.23830004903 	0.0 	-1.0 	Amensalism
1095745.3X862512.3 	1095745.3 	862512.3 	24.9158442204 	-5.55358077276e-28 	24.9158442204 	3.08901330302 	0.0 	-1.0 	Amensalism
1095752.3X862512.3 	1095752.3 	862512.3 	6.41653262034 	3.47469798581 	6.41653262034 	3.08901330302 	0.0 	0.124856918684 	Commensalism
1097667.3X1035187.4 	1097667.3 	1035187.4 	31.5489064563 	1.59034358493e-27 	31.5489064563 	0.362233176535 	0.0 	-1.0 	Amensalism
1097667.3X1076135.3 	1097667.3 	1076135.3 	18.1684766037 	14.0429729365 	31.5489064563 	32.2114495402 	-0.424117072683 	-0.564037845643 	Competition
1097667.3X1077975.4 	1097667.3 	1077975.4 	31.5489064563 	-0.0 	31.5489064563 	24.7256579876 	0.0 	-1.0 	Amensalism
1097667.3X267747.3 	1097667.3 	267747.3 	31.5489064563 	-9.08767762815e-28 	31.5489064563 	24.7255086097 	0.0 	-1.0 	Amensalism
1097667.3X428125.8 	1097667.3 	428125.8 	31.5489064563 	4.37975574579e-27 	31.5489064563 	0.238869688949 	0.0 	-1.0 	Amensalism
1097667.3X699246.3 	1097667.3 	699246.3 	31.5489064563 	-7.42750674132e-15 	31.5489064563 	0.122331770253 	0.0 	-1.0 	Amensalism
1105029.3X267747.3 	1105029.3 	267747.3 	0.0 	32.2114495402 	12.5110879663 	24.7255086097 	-1.0 	0.302761858155 	Parasitism
1105030.3X1105030.3 	1105030.3 	1105030.3 	13.2877928026 	1.24764619346e-27 	12.4270826445 	12.4270826445 	0.0692608380198 	-1.0 	Amensalism
1105030.3X457394.3 	1105030.3 	457394.3 	13.4800011396 	1.78136687039 	12.4270826445 	1.78136687039 	0.084727729365 	0.0 	Neutralism
1105030.3X553177.6 	1105030.3 	553177.6 	3.04134277955e-25 	32.2114495402 	12.4270826445 	2.78995483491 	-1.0 	10.5455093169 	Parasitism
1105030.3X553178.3 	1105030.3 	553178.3 	-1.69131778079e-27 	32.2114495402 	12.4270826445 	1.45910863199 	-1.0 	21.0761147141 	Parasitism
1105030.3X596320.3 	1105030.3 	596320.3 	0.0 	32.2114495402 	12.4270826445 	15.2048471668 	-1.0 	1.11849873838 	Parasitism
1105030.3X796942.3 	1105030.3 	796942.3 	17.1389068029 	1.90764209729 	12.4270826445 	0.834351810845 	0.379157706856 	1.28637616949 	Mutualism
1105030.3X866778.4 	1105030.3 	866778.4 	-5.67979851759e-29 	32.2114495402 	12.4270826445 	19.5050092456 	-1.0 	0.651444976755 	Parasitism
1105030.3X997894.4 	1105030.3 	997894.4 	9.82605143543e-26 	32.619278317 	12.4270826445 	24.4644587377 	-1.0 	0.333333333336 	Parasitism
1105031.3X1125778.3 	1105031.3 	1125778.3 	2.20102310178 	5.9013044626 	2.66588682078 	8.10231219709 	-0.174374889203 	-0.271651805182 	Competition
1118055.3X562973.4 	1118055.3 	562973.4 	0.0 	32.2114495402 	2.86066968651 	24.7256826795 	-1.0 	0.302752686659 	Parasitism
1121877.3X1415765.3 	1121877.3 	1415765.3 	31.8708545549 	9.28962601988e-27 	26.1382451726 	0.239948159421 	0.219318831255 	-1.0 	Parasitism
1125724.3X1203573.3 	1125724.3 	1203573.3 	7.77501308186e-25 	3.86299993854 	2.40335704788 	3.05338917297 	-1.0 	0.265151515155 	Parasitism
1160721.7X1160721.7 	1160721.7 	1160721.7 	0.966131909799 	0.732617650076 	1.69874955987 	1.69874955987 	-0.431268779918 	-0.568731220079 	Competition
1197728.3X1077975.4 	1197728.3 	1077975.4 	5.23601692675e-25 	24.7256579876 	7.78309408591 	24.7256579876 	-1.0 	0.0 	Amensalism
1197728.3X1105030.3 	1197728.3 	1105030.3 	7.78309408591 	12.3624425783 	7.78309408591 	12.4270826445 	0.0 	-0.00520154794566 	Neutralism
1197728.3X1203573.3 	1197728.3 	1203573.3 	7.78309408591 	3.32914551981 	7.78309408591 	3.05338917297 	0.0 	0.0903115624045 	Neutralism
1197728.3X1235815.4 	1197728.3 	1235815.4 	7.78309408591 	-3.73173816816e-13 	7.78309408591 	6.40793751026 	0.0 	-1.0 	Amensalism
1197728.3X1332188.3 	1197728.3 	1332188.3 	7.7830940859 	2.22365621375 	7.78309408591 	3.68896643112 	-1.28483617402e-12 	-0.39721429965 	Amensalism
1197728.3X1400053.5 	1197728.3 	1400053.5 	13.4205180032 	6.56332273144e-28 	7.7830940859 	7.42675123239 	0.724316557796 	-1.0 	Parasitism
1197728.3X267747.3 	1197728.3 	267747.3 	-1.82182152435e-11 	24.7255086098 	7.78309408591 	24.7255086097 	-1.0 	4.04433467864e-12 	Amensalism
1197728.3X411486.3 	1197728.3 	411486.3 	7.78309408591 	1.53047654441 	7.78309408591 	1.46780645825 	0.0 	0.0426964235017 	Neutralism
1197728.3X457394.3 	1197728.3 	457394.3 	7.7830940859 	1.78136687039 	7.78309408591 	1.78136687039 	-1.28483617402e-12 	0.0 	Neutralism
1197728.3X552395.3 	1197728.3 	552395.3 	7.78309408591 	11.1037009028 	7.78309408591 	12.3720208349 	0.0 	-0.102515179131 	Amensalism
1197728.3X596320.3 	1197728.3 	596320.3 	-1.13595970352e-28 	15.2048471668 	7.78309408591 	15.2048471668 	-1.0 	0.0 	Amensalism
1197728.3X679201.3 	1197728.3 	679201.3 	0.0 	30.5091313735 	7.78309408591 	30.5091313735 	-1.0 	0.0 	Amensalism
1197728.3X713605.5 	1197728.3 	713605.5 	7.78309408591 	1.66098047709 	7.7830940859 	1.7285697881 	1.28483617402e-12 	-0.0391012914117 	Neutralism
1197728.3X857291.3 	1197728.3 	857291.3 	10.1180223117 	1.11813468036e-14 	7.78309408591 	6.37648148707 	0.300000000002 	-1.0 	Parasitism
1197728.3X871541.3 	1197728.3 	871541.3 	6.68954047627e-28 	24.7256664882 	7.78309408591 	24.7256664882 	-1.0 	0.0 	Amensalism
1197728.3X888056.4 	1197728.3 	888056.4 	7.7830940859 	24.4283554543 	7.78309408591 	32.2114495402 	-1.28483617402e-12 	-0.241625080429 	Amensalism
1197728.3X925409.4 	1197728.3 	925409.4 	-8.06910042732e-26 	12.4579858549 	7.78309408591 	12.4579858549 	-1.0 	0.0 	Amensalism
1197728.3X95617.3 	1197728.3 	95617.3 	0.0 	24.7257069661 	7.78309408591 	24.725706966 	-1.0 	4.04430223389e-12 	Amensalism
1197728.3X997894.4 	1197728.3 	997894.4 	32.2114495402 	3.1353185152 	7.78309408591 	24.4644587377 	3.13864321626 	-0.871841901396 	Parasitism
1203556.3X1118055.3 	1203556.3 	1118055.3 	14.7331885072 	4.48973607817 	12.5110717784 	2.86066968651 	0.17761201983 	0.569470288493 	Mutualism
1203556.3X1197728.3 	1203556.3 	1197728.3 	12.4447784474 	7.78309408591 	12.5110717784 	7.78309408591 	-0.00529877313265 	0.0 	Neutralism
1203556.3X196627.13 	1203556.3 	196627.13 	0.0 	32.2114495402 	12.5110717784 	24.7253830999 	-1.0 	0.302768471172 	Parasitism
1203556.3X523794.5 	1203556.3 	523794.5 	1.30280946477e-23 	37.0873395974 	12.5110717784 	12.3624465325 	-1.0 	1.99999999999 	Parasitism
1203556.3X537013.3 	1203556.3 	537013.3 	3.3829827963 	9.96914782993 	12.5110717784 	0.127699415409 	-0.729600880227 	77.0672941846 	Parasitism
1203556.3X562973.4 	1203556.3 	562973.4 	0.0 	32.2114495402 	12.5110717784 	24.7256826795 	-1.0 	0.302752686659 	Parasitism
1203556.3X635013.3 	1203556.3 	635013.3 	1.83947724986 	11.0197631359 	12.5110717784 	0.238864222342 	-0.852972048883 	45.1340046151 	Parasitism
1203556.3X762963.3 	1203556.3 	762963.3 	12.2196285869 	12.0876343321 	12.5110717784 	16.2048516596 	-0.0232948221113 	-0.254073126616 	Amensalism
1203556.3X997353.4 	1203556.3 	997353.4 	12.4415162719 	8.13138164177 	12.5110717784 	7.82625691034 	-0.00555951622147 	0.0389873134661 	Neutralism
1203559.3X1076135.3 	1203559.3 	1076135.3 	0.0 	32.2114495402 	4.08490754086 	32.2114495402 	-1.0 	0.0 	Amensalism
1203559.3X1097667.3 	1203559.3 	1097667.3 	0.0 	31.5489064563 	4.08490754086 	31.5489064563 	-1.0 	0.0 	Amensalism
1203559.3X267747.3 	1203559.3 	267747.3 	0.0 	24.7255086097 	4.08490754086 	24.7255086097 	-1.0 	0.0 	Amensalism
1203559.3X428125.8 	1203559.3 	428125.8 	9.5254607537 	4.74205595225 	4.08490754086 	0.238869688949 	1.33186691704 	18.8520623237 	Mutualism
1203564.3X936563.3 	1203564.3 	936563.3 	3.72976975784 	15.3695228482 	2.43763474086 	9.2793566106 	0.530077371856 	0.656313416239 	Mutualism
1203566.3X663917.3 	1203566.3 	663917.3 	6.44291596139e-12 	24.7255294591 	2.69184915851 	12.3627647296 	-0.999999999998 	0.999999999992 	Parasitism
1203573.3X411486.3 	1203573.3 	411486.3 	-4.32977351883e-25 	4.65594119369 	3.05338917297 	1.46780645825 	-1.0 	2.1720402697 	Parasitism
1203603.3X267747.3 	1203603.3 	267747.3 	0.0 	28.3902832263 	5.69687115201 	24.7255086098 	-1.0 	0.148218371332 	Parasitism
1203603.3X313596.4 	1203603.3 	313596.4 	14.5861100736 	0.985817671561 	5.69687115201 	7.66902826031 	1.56037212084 	-0.87145468264 	Parasitism
1203603.3X340101.3 	1203603.3 	340101.3 	6.25117996202 	18.5220742094 	5.69687115202 	12.3627482321 	0.0973005699459 	0.498216566548 	Commensalism
1203603.3X411483.3 	1203603.3 	411483.3 	6.48599265892 	3.77994867394 	5.69687115202 	3.49868914244 	0.138518405251 	0.0803899746589 	Commensalism
1218103.5X267747.3 	1218103.5 	267747.3 	18.445440535 	6.42094515329 	9.6991699722 	24.7255086097 	0.901754540633 	-0.740310896951 	Parasitism
1227268.3X1203556.3 	1227268.3 	1203556.3 	37.0873395974 	0.0 	12.3624465325 	12.5110717784 	1.99999999999 	-1.0 	Parasitism
1227268.3X537013.3 	1227268.3 	537013.3 	24.7248930649 	-9.25760232311e-14 	12.3624465325 	0.12769941541 	0.999999999992 	-1.0 	Parasitism
1227268.3X762963.3 	1227268.3 	762963.3 	24.7248930649 	1.18861822296e-13 	12.3624465325 	16.2048516596 	0.999999999992 	-1.0 	Parasitism
1227268.3X862512.3 	1227268.3 	862512.3 	24.7248930649 	-2.20881053462e-28 	12.3624465325 	3.08901330302 	0.999999999992 	-1.0 	Parasitism
1227268.3X944560.4 	1227268.3 	944560.4 	-2.72630328844e-27 	24.7256853106 	12.3624465325 	24.7256853106 	-1.0 	0.0 	Amensalism
1227268.3X997353.4 	1227268.3 	997353.4 	4.23111724218 	8.13138164177 	12.3624465325 	7.82625691034 	-0.65774434445 	0.0389873134661 	Amensalism
1227272.3X445970.5 	1227272.3 	445970.5 	9.83534992127 	2.52735508916 	6.92240672543 	4.30195868889 	0.420799197646 	-0.412510609252 	Parasitism
1235797.3X879304.3 	1235797.3 	879304.3 	7.98862920494 	16.7050696751 	2.97037637062 	0.23925429573 	1.68943332702 	68.8213991274 	Mutualism
1235815.4X1077975.4 	1235815.4 	1077975.4 	1.26217744835e-28 	24.7256579876 	6.40793751026 	24.7256579876 	-1.0 	0.0 	Amensalism
1235815.4X1105030.3 	1235815.4 	1105030.3 	6.40793751026 	12.3734110326 	6.40793751026 	12.4270826445 	0.0 	-0.00431892290696 	Neutralism
1235815.4X1321817.3 	1235815.4 	1321817.3 	6.40793751026 	1.47006518402 	6.40793751026 	1.5730350624 	0.0 	-0.0654593663176 	Neutralism
1235815.4X267747.3 	1235815.4 	267747.3 	0.0 	24.7255086097 	6.40793751026 	24.7255086097 	-1.0 	0.0 	Amensalism
1235815.4X457394.3 	1235815.4 	457394.3 	6.40793751026 	1.78136687039 	6.40793751026 	1.78136687039 	0.0 	0.0 	Neutralism
1235815.4X552395.3 	1235815.4 	552395.3 	6.40793751026 	12.0049619605 	6.40793751026 	12.3720208349 	0.0 	-0.0296684655885 	Neutralism
1235815.4X596320.3 	1235815.4 	596320.3 	-1.4540284205e-26 	15.2048471668 	6.40793751026 	15.2048471667 	-1.0 	6.57685060413e-12 	Amensalism
1235815.4X679201.3 	1235815.4 	679201.3 	0.0 	30.5091313735 	6.40793751026 	30.5091313735 	-1.0 	0.0 	Amensalism
1235815.4X997830.4 	1235815.4 	997830.4 	6.40196575209 	0.184770665547 	6.40793751026 	0.241581420921 	-0.000931931399212 	-0.235161939016 	Amensalism
1235815.4X997894.4 	1235815.4 	997894.4 	32.2114495402 	3.1353105113 	6.40793751026 	24.4644587377 	4.02680456678 	-0.87184222856 	Parasitism
1236489.4X1203619.3 	1236489.4 	1203619.3 	7.20783428353 	3.70007245667 	7.20783428353 	3.08640107902 	0.0 	0.198830729364 	Commensalism
1268240.3X999421.3 	1268240.3 	999421.3 	1.77418948207 	10.5884118096 	9.53613968008 	9.37834099553 	-0.813950975805 	0.129028238006 	Parasitism
1296619.3X176279.9 	1296619.3 	176279.9 	7.92490595683 	20.3295929847 	8.10229837114 	19.6754171208 	-0.0218940856266 	0.0332483860385 	Neutralism
1321775.3X1476577.3 	1321775.3 	1476577.3 	7.22449027069 	5.34146752889 	12.4536107364 	0.118775713882 	-0.419887900497 	43.9710412534 	Parasitism
1321817.3X1077975.4 	1321817.3 	1077975.4 	0.0 	24.7256579876 	1.5730350624 	24.7256579876 	-1.0 	0.0 	Amensalism
1321817.3X1105030.3 	1321817.3 	1105030.3 	14.2301474964 	0.0 	1.5730350624 	12.4270826445 	8.04630026154 	-1.0 	Parasitism
1321817.3X1235797.3 	1321817.3 	1235797.3 	1.95622596158 	2.26575368791 	1.5730350624 	2.97037637062 	0.243599719001 	-0.237216633447 	Parasitism
1321817.3X1414720.3 	1321817.3 	1414720.3 	2.83674632411 	10.40513046 	1.5730350624 	0.709094914168 	0.803358610317 	13.6738190503 	Mutualism
