ModelName 	ObjFuntionSpeciesA 	ObjFunctionSpeceisB 	GRSpeciesAFull 	GRSpeciesBFull 	GRASolo 	GRBSolo
A_1097667_3XA_428125_8 	A_1097667_3 	A_428125_8 	31.5489064563 	4.37975574579e-27 	31.5489064563 	0.238869688949
A_1097667_3XA_699246_3 	A_1097667_3 	A_699246_3 	31.5489064563 	-7.42750674132e-15 	31.5489064563 	0.122331770253
A_1105029_3XA_267747_3 	A_1105029_3 	A_267747_3 	0.0 	32.2114495402 	12.5110879663 	24.7255086097
A_1105030_3XA_1105030_3 	A_1105030_3 	A_1105030_3 	13.2877928026 	1.24764619346e-27 	12.4270826445 	12.4270826445
A_1105030_3XA_457394_3 	A_1105030_3 	A_457394_3 	13.4800011396 	1.78136687039 	12.4270826445 	1.78136687039
A_1105030_3XA_553177_6 	A_1105030_3 	A_553177_6 	3.04134277955e-25 	32.2114495402 	12.4270826445 	2.78995483491
A_1105030_3XA_553178_3 	A_1105030_3 	A_553178_3 	-1.69131778079e-27 	32.2114495402 	12.4270826445 	1.45910863199
A_1105030_3XA_596320_3 	A_1105030_3 	A_596320_3 	0.0 	32.2114495402 	12.4270826445 	15.2048471668
A_1105030_3XA_796942_3 	A_1105030_3 	A_796942_3 	17.1389068029 	1.90764209729 	12.4270826445 	0.834351810845
A_1105030_3XA_866778_4 	A_1105030_3 	A_866778_4 	-5.67979851759e-29 	32.2114495402 	12.4270826445 	19.5050092456
A_1105030_3XA_997894_4 	A_1105030_3 	A_997894_4 	9.82605143543e-26 	32.619278317 	12.4270826445 	24.4644587377
A_1105031_3_modelXA_1125778_3 	A_1105031_3_model 	A_1125778_3 	2.20102310178 	5.9013044626 	2.66588682078 	8.10231219709
A_1118055_3XA_562973_4 	A_1118055_3 	A_562973_4 	0.0 	32.2114495402 	2.86066968651 	24.7256826795
A_1121877_3XA_1415765_3 	A_1121877_3 	A_1415765_3 	31.8708545549 	9.28962601988e-27 	26.1382451726 	0.239948159421
